"","IDComm","Richness","Community","CommunityName","Country","LatDecDeg","LongDecDeg","SingleSpCommunities.IDComm","CountOfSpecies","pts_eco"
"178",372,10,"Río Conambo","Río Conambo","Ecuador",-1.583333333,-77.75,NA,NA,6
"179",375,6,"Catamayo","Catamayo","Ecuador",-3.983333333,-79.35,NA,NA,4
"180",376,5,"Cerro La Torre","Cerro La Torre","Ecuador",-1.666666667,-80.5,NA,NA,9
"182",397,11,"Vereda La Suiza","Vereda La Suiza","Colombia",4.733333333,-75.58333333,NA,NA,5
"184",407,6,"La Buitrera","La Buitrera","Colombia",3.3625,-76.56333333,NA,NA,5
"186",411,8,"Campus de la Universidad del Quindío","Campus de la Universidad del Quindío","Colombia",4.544444444,-75.77027778,NA,NA,5
"187",412,10,"Vereda Cerca de Piedra","Vereda Cerca de Piedra","Colombia",4.85,-74.05,NA,NA,3
"188",413,5,"Reserva Natural La Montaña del Ocaso","Reserva Natural La Montaña del Ocaso","Colombia",4.716666667,-75.85,NA,NA,5
"189",415,13,"Santuario de Flora y Fauna Galeras","Santuario de Flora y Fauna Galeras","Colombia",1.242064,-77.396211,NA,NA,3
"190",416,11,"Páramo de Miraflores","Páramo de Miraflores","Colombia",2.333333333,-75.41666667,NA,NA,3
"192",418,7,"Resguardo","Resguardo","Colombia",5.5015,-75.792722,NA,NA,3
"193",420,8,"Bolívar","Bolívar","Colombia",1.8401,-76.95121667,NA,NA,4
"194",421,5,"Cajamarca","Cajamarca","Colombia",1.9022,-77.1097,NA,NA,5
"195",422,5,"Curacas","Curacas","Colombia",1.734155556,-77.12586111,NA,NA,5
"196",424,13,"Los Alpes","Los Alpes","Colombia",1.74325,-77.06844444,NA,NA,5
"197",425,18,"Los Milagros","Los Milagros","Colombia",1.799,-76.889,NA,NA,3
"198",426,13,"Marsella","Marsella","Colombia",1.53985,-77.07336667,NA,NA,4
"199",427,9,"Mazamorras","Mazamorras","Colombia",1.773383333,-76.94501667,NA,NA,4
"200",428,7,"San Joaquín","San Joaquín","Colombia",1.780083333,-77.07055,NA,NA,5
"202",435,11,"Resguardo Indigena Chimborazo","Resguardo Indigena Chimborazo","Colombia",2.75,-76.63333333,NA,NA,5
"203",437,13,"Vereda El Naranjal","Vereda El Naranjal","Colombia",2.333388889,-77.34944444,NA,NA,5
"206",442,13,"Bosque de Río Blanco, Popayán","Bosque de Río Blanco, Popayán","Colombia",2.497127778,-76.52862222,NA,NA,5
"207",444,6,"Bosque la Cabuyera, Popayán","Bosque la Cabuyera, Popayán","Colombia",2.523172222,-76.54526667,NA,NA,5
"208",445,13,"Sector La Romelia","Sector La Romelia","Colombia",2.666655556,-76.90083611,NA,NA,5
"214",451,11,"Reserva Marilandia","Reserva Marilandia","Colombia",4.43375,-74.09019444,NA,NA,3
"215",452,10,"Queremal","Queremal","Colombia",3.516666667,-76.71666667,NA,NA,5
"217",454,8,"La Barca","La Barca","Colombia",1.966666667,-77.11666667,NA,NA,7
"218",455,14,"Torca Norte","Torca Norte","Colombia",4.778944444,-74.01277778,NA,NA,3
"219",480,10,"El Alto del trueno","El Alto del trueno","Colombia",2.561463889,-76.13141111,NA,NA,3
"220",481,8,"El Carmen","El Carmen","Colombia",2.584,-76.057,NA,NA,5
"224",486,5,"Hacienda la Corocora","Hacienda la Corocora","Colombia",3.95,-73.4,NA,NA,7
"225",487,11,"Resguardo Indigena Uitoto","Resguardo Indigena Uitoto","Colombia",-4.132424,-69.949871,NA,NA,6
"226",488,6,"Complejo Petrolero Caño Limón","Complejo Petrolero Caño Limón","Colombia",6.9166,-70.9666,NA,NA,8
"227",489,19,"Flanco Occidental, Volcán de Chiles","Flanco Occidental, Volcán de Chiles","Colombia",0.866666667,-77.96666667,NA,NA,3
"228",490,16,"Alto Ucumarí Parque Nacional Natural Ucumarí","Alto Ucumarí Parque Nacional Natural Ucumarí","Colombia",4.708888889,-75.49361111,NA,NA,3
"229",492,5,"Fincas Cafeteras de la Vereda Valladolid","Fincas Cafeteras de la Vereda Valladolid","Colombia",5.133333333,-75.93333333,NA,NA,5
"231",495,15,"Corregimiento de Cupica y Jurubirá","Corregimiento de Cupica y Jurubirá","Colombia",6.694452778,-77.499775,NA,NA,6
"232",496,14,"Finca Villa Carolina","Finca Villa Carolina","Colombia",3.563297222,-76.60329722,NA,NA,5
"233",497,6,"Páramo Santa Isabel","Páramo Santa Isabel","Colombia",0.879,-77.196,NA,NA,3
"234",498,6,"Paramo el Estero","Paramo el Estero","Colombia",0.950123,-77.153661,NA,NA,3
"235",499,6,"Bordoncillo","Bordoncillo","Colombia",1.183333333,-77.117,NA,NA,3
"236",500,13,"Reserva Natural Nirvana","Reserva Natural Nirvana","Colombia",3.475277778,-76.19055556,NA,NA,5
"237",501,6,"Alto mesay","Alto mesay","Colombia",0.263297222,-72.91996389,NA,NA,7
"242",506,25,"Rios Rumichaco y Rancheria","Rios Rumichaco y Rancheria","Colombia",0.515366667,-77.27583333,NA,NA,5
"243",507,12,"El mirador","El mirador","Colombia",1.069722222,-76.74472222,NA,NA,5
"244",510,9,"Quebrada santa Elena","Quebrada santa Elena","Colombia",6.226833,-75.5177,NA,NA,5
"245",514,10,"Acacias","Acacias","Colombia",4.042222222,-73.79138889,NA,NA,6
"247",517,8,"Bosque de Bavaria","Bosque de Bavaria","Colombia",4.1775,-73.64555556,NA,NA,6
"249",519,11,"Finca Rosita","Finca Rosita","Colombia",3.54413,-76.1641,NA,NA,5
"250",520,7,"Hacienda Mozambique","Hacienda Mozambique","Colombia",4.0833,-72.9833,NA,NA,7
"253",525,9,"La Leticia","La Leticia","Colombia",-4.215731,-69.93521,NA,NA,6
"254",526,10,"Mambita","Mambita","Colombia",4.768,-73.222,NA,NA,6
