LONGDECDEG,LATDECDEG,Pterophanes.cyanopterus_AllData_RUN1 logistic values
-77.073367,1.53985,0.47555563
-75.2667,5.2833,0.52409047
-78.066667,0.883333,0.37779382
-76.945017,1.773383,0.052540306
-78.7,-2.36,0.39820582
-75.583333,6.25,0.13302605
-78.766667,-0.016667,0.36546698
-78.743134,-0.035019,0.36546698
-73.2,5.2,0.5118551
-70.3,9.35,0.18853544
-78.26667,0.116667,0.36452362
-75.856336,5.598278,0.21497576
-74.05,4.6,0.64599967
-73.8,4.283333,0.22839883
-76.083333,2.333333,0.4655313
-70.808333,8.791667,0.3958707
-70.88333,8.55,0.011384022
-76.95,2.533333,0.045013662
-72.75,7.3,0.5371116
-78.75,-4.36667,0.15638937
-78.4333,-0.1667,0.36546698
-71.866685,8.25,0.081781834
-72.283333,6.133333,0.023105225
-70.16667,9.53333,0.18853544
-78.15,-2.1,0.20935689
-69.60417,9.6975,0.34729058
-74.166667,5.133333,0.45843443
-76.618611,2.256667,0.32858574
-72.2333,7.8667,0.17592758
-74.166667,5.1,0.45843443
-72.633333,7.45,0.5371116
-78.2,-0.333333,0.6123301
-75.416667,2.333333,0.05600206
-76.074583,6.451251,0.13517271
-76.078625,6.429481,0.13517271
-76.070847,6.417796,0.13517271
-78.516667,-0.25,0.36546698
-78.5,-0.21667,0.36546698
-77.283333,1.216667,0.47555563
-74.4,4.75,0.45843443
-72.9333,9.85,0.029234344
-72.9167,10.0833,0.029234344
-72.7833,10.0333,0.007812138
-72.59103,10.32648,0.07063412
-72.5,5.833333,0.43109056
-76.383333,2.466667,0.4655313
-76.5916665,2.475,0.32858574
-76.583333,2.7,0.07386834
-76.532222,2.502778,0.32858574
-76.45,2.4,0.32858574
-70.61667,10.31667,0.044909216
-75.5177,6.226833,0.13302605
-79.80964,-4.30908,0.08625059
-72.0,7.9167,0.17592758
-73.916667,3.1,0.0046449224
-78.884,-1.434,0.8103805
-74.090194,4.43375,0.64599967
-79.81349,-4.32356,0.27149016
-77.91667,-0.68333,0.6123301
-76.633333,2.75,0.07386834
-75.6,6.066667,0.07757088
-72.35,7.4333,0.059529737
-78.81667,-0.233333,0.36546698
-77.275833,0.515367,0.055124525
-75.566667,4.633333,0.43237644
-76.266667,1.883333,0.44534892
-76.033333,2.566667,0.4655313
-74.283333,4.966667,0.45843443
-74.069375,11.106986,0.019776218
-75.533333,6.466667,0.13302605
-73.05,7.783333,0.3018984
-77.466667,1.283333,0.17517212
-75.565069,6.250892,0.13302605
-76.170278,2.240278,0.4655313
-73.266667,4.85,0.0198941
-74.35,4.6,0.64599967
-70.6,8.85,0.3958707
-75.590494,4.736057,0.17578404
-72.05,8.13333,0.17592758
-72.941667,10.291667,0.015204253
-73.716667,5.083333,0.4572658
-72.683333,6.333333,0.38293946
-79.783333,-4.35,0.27149016
-73.166667,5.25,0.5118551
-71.0667,8.6333,0.397132
-74.11167,4.927484,0.45843443
-72.4,7.48333,0.059529737
-72.45,7.483315,0.5371116
-77.0,2.521389,0.045013662
-78.7,-0.016667,0.36546698
-71.08333,8.56667,0.397132
-69.2667,9.9333,0.014999079
-76.688056,2.356389,0.32858574
-70.73333,8.98333,0.3958707
-75.366667,4.433333,0.1041206
-72.833333,7.2,0.5371116
-74.083333,4.883333,0.45843443
-74.012778,4.778944,0.45843443
-76.4,2.5,0.4655313
-73.35,5.516667,0.5118551
-77.285278,1.234167,0.47555563
-79.7,-4.36667,0.27149016
