LONGDECDEG,LATDECDEG,Pterophanes.cyanopterus_AllData_RUN1 logistic values
-76.889,1.799,0.4766401
-73.5,10.916667,0.32866114
-73.616667,10.933333,0.32866114
-73.5,10.916667,0.32866114
-74.083333,4.75,0.42783004
-76.3,2.483333,0.27180448
-75.533333,5.083333,0.109681785
-75.2667,5.2833,0.4849368
-78.066667,0.883333,0.5619471
-76.945017,1.773383,0.09929273
-78.7,-2.36,0.31210792
-75.583333,6.25,0.20750648
-78.766667,-0.016667,0.40388608
-78.743134,-0.035019,0.40388608
-73.2,5.2,0.43349
-70.3,9.35,0.17067993
-78.26667,0.116667,0.4109746
-73.8,4.283333,0.13691531
-76.083333,2.333333,0.27180448
-70.808333,8.791667,0.20585528
-70.88333,8.55,0.026474642
-76.95,2.533333,0.040716916
-78.75,-4.36667,0.1655582
-71.866685,8.25,0.06602329
-78.15,-2.1,0.05661533
-79.13341,-3.56664,0.7894887
-69.60417,9.6975,0.16527414
-74.166667,5.133333,0.42783004
-76.618611,2.256667,0.28919816
-72.2333,7.8667,0.3701183
-74.166667,5.1,0.42783004
-72.633333,7.45,0.53579134
-78.2,-0.333333,0.73041195
-75.416667,2.333333,0.11697217
-76.074583,6.451251,0.13399328
-76.078625,6.429481,0.13399328
-76.070847,6.417796,0.13399328
-78.516667,-0.25,0.40388608
-78.5,-0.21667,0.40388608
-77.283333,1.216667,0.7689161
-74.4,4.75,0.42783004
-72.81667,10.03333,0.007715889
-72.9333,9.85,0.013252775
-72.9167,10.0833,0.013252775
-72.7833,10.0333,0.007715889
-72.59103,10.32648,0.097595334
-72.916667,10.483333,0.017937398
-72.5,5.833333,0.34798315
-76.383333,2.466667,0.27180448
-76.5916665,2.475,0.28919816
-76.583333,2.7,0.0394421
-73.05,8.1,0.35242546
-76.45,2.4,0.28919816
-78.383333,-2.2,0.05661533
-70.61667,10.31667,0.17803967
-75.5177,6.226833,0.20750648
-79.80964,-4.30908,0.27952096
-76.089451,6.435972,0.13399328
-74.033333,4.4,0.61435086
-73.083333,7.8,0.35242546
-73.916667,3.1,0.004312129
-78.884,-1.434,0.40321773
-74.090194,4.43375,0.61435086
-79.81349,-4.32356,0.22699605
-77.91667,-0.68333,0.73041195
-79.25007,-3.24997,0.75731695
-76.633333,2.75,0.0394421
-72.35,7.4333,0.1298136
-77.983333,1.216667,0.0025396775
-77.275833,0.515367,0.23593555
-75.566667,4.633333,0.45201465
-76.266667,1.883333,0.3660965
-76.033333,2.566667,0.27180448
-74.283333,4.966667,0.42783004
-78.179697,-1.522207,0.036992185
-74.069375,11.106986,0.09636067
-73.483333,10.966667,0.32866114
-75.533333,6.466667,0.20750648
-73.05,7.783333,0.35242546
-73.6,10.566667,0.09706199
-73.6,10.566667,0.09706199
-77.466667,1.283333,0.42803434
-71.625015,8.39165,0.06602329
-75.565069,6.250892,0.20750648
-73.266667,4.85,0.016939918
-70.7333,8.8167,0.20585528
-70.6,8.85,0.20585528
-75.590494,4.736057,0.109681785
-72.05,8.13333,0.3701183
-72.941667,10.291667,0.017937398
-73.716667,5.083333,0.23442347
-75.283333,5.7,0.08855296
-74.083333,4.75,0.42783004
-73.166667,5.25,0.43349
-74.11167,4.927484,0.42783004
-72.4,7.48333,0.1298136
-78.7,-0.016667,0.40388608
-71.08333,8.56667,0.28592554
-69.2667,9.9333,0.011817144
-76.688056,2.356389,0.28919816
-75.416667,4.533333,0.45201465
-75.366667,4.433333,0.27707762
-74.083333,4.883333,0.42783004
-74.012778,4.778944,0.42783004
-76.4,2.5,0.27180448
-78.4,-0.21,0.4109746
-76.183333,6.333333,0.13399328
-79.7,-4.36667,0.22699605
-71.083315,8.65,0.28592554
-78.6,-0.1,0.40388608
-74.05,4.85,0.42783004
-72.947389,10.363897,0.017937398
-75.583333,4.733333,0.109681785
-73.054278,7.142556,0.40886936
-77.916667,-0.233333,0.4109746
-76.519722,1.238333,0.280427
-78.587981,-0.146287,0.40388608
-77.533333,1.25,0.42803434
-71.7667,8.3667,0.06602329
-71.7667,8.3667,0.06602329
-74.383333,4.766667,0.42783004
-79.133333,-4.866667,0.19404724
