X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.618611,2.256667,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-72.2333,7.8667,train,0.032323766736648114,76.05261456316111,0.6181661039943526
-74.166667,5.1,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-72.633333,7.45,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-75.416667,2.333333,train,0.010170982150686356,17.807906536641212,0.33749162993918996
-76.074583,6.451251,train,0.23415212428294455,100.0,0.9214302087371412
-76.078625,6.429481,train,0.23415212428294455,100.0,0.9214302087371412
-76.070847,6.417796,train,0.23415212428294455,100.0,0.9214302087371412
-78.516667,-0.25,train,0.022915177001822346,52.68548238437422,0.534387672526323
-78.5,-0.21667,train,0.022915177001822346,52.68548238437422,0.534387672526323
-79.37653,-2.85847,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-79.126372,-2.87166,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-77.283333,1.216667,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-74.4,4.75,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-72.9333,9.85,train,0.004774910116338923,3.0325707581459493,0.19299647515940102
-72.9167,10.0833,train,0.004774910116338923,3.0325707581459493,0.19299647515940102
-72.916667,10.483333,train,0.02036540457765199,41.70715292228065,0.5049514247582433
-72.5,5.833333,train,0.04307344530204414,94.93769368831089,0.6832775760861565
-76.383333,2.466667,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-76.5916665,2.475,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-76.583333,2.7,train,0.23415212428294455,100.0,0.9214302087371412
-73.05,8.1,train,0.043568360074739784,95.12096023470792,0.6857447542380247
-78.183333,-2.083333,train,0.00844054774373822,10.214181498175547,0.29713378923201234
-76.532222,2.502778,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-76.45,2.4,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-78.383333,-2.2,train,0.00844054774373822,10.214181498175547,0.29713378923201234
-75.5177,6.226833,train,0.23415212428294455,100.0,0.9214302087371412
-79.80964,-4.30908,train,4.098701770095943E84,100.0,1.0
-76.089451,6.435972,train,0.23415212428294455,100.0,0.9214302087371412
-72.0,7.9167,train,0.032323766736648114,76.05261456316111,0.6181661039943526
-74.033333,4.4,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-73.083333,7.8,train,0.043568360074739784,95.12096023470792,0.6857447542380247
