"","Locality","Species","P_A","Phylo.Relatedness","Hyp","Iteration"
"172","108","t5",0,0.933333333333333,"Lottery",NA
"173","108","t6",0,0.933333333333333,"Lottery",NA
"174","108","t7",0,0.933333333333333,"Lottery",NA
"175","108","t8",0,0.933333333333333,"Lottery",NA
"176","108","t9",0,0.933333333333333,"Lottery",NA
"177","109","t1",0,0.4,"Lottery",NA
"178","109","t10",0,0.933333333333333,"Lottery",NA
"179","109","t11",0,0.933333333333333,"Lottery",NA
"180","109","t12",0,0.933333333333333,"Lottery",NA
"181","109","t13",1,0.4,"Lottery",NA
"182","109","t14",0,0.133333333333333,"Lottery",NA
"183","109","t15",1,0.4,"Lottery",NA
"184","109","t16",0,0.133333333333333,"Lottery",NA
"185","109","t2",0,0.4,"Lottery",NA
"186","109","t3",1,2,"Lottery",NA
"187","109","t4",0,0.133333333333333,"Lottery",NA
"188","109","t5",0,0.933333333333333,"Lottery",NA
"189","109","t6",0,0.933333333333333,"Lottery",NA
"190","109","t7",0,0.933333333333333,"Lottery",NA
"191","109","t8",0,0.933333333333333,"Lottery",NA
"192","109","t9",0,0.933333333333333,"Lottery",NA
"193","110","t1",0,0.4,"Lottery",NA
"194","110","t10",0,0.933333333333333,"Lottery",NA
"195","110","t11",0,0.933333333333333,"Lottery",NA
"196","110","t12",0,0.933333333333333,"Lottery",NA
"197","110","t13",1,2,"Lottery",NA
"198","110","t14",0,0.133333333333333,"Lottery",NA
"199","110","t15",0,0.4,"Lottery",NA
"200","110","t16",0,0.4,"Lottery",NA
"201","110","t2",0,0.4,"Lottery",NA
"202","110","t3",1,2,"Lottery",NA
"203","110","t4",0,0.133333333333333,"Lottery",NA
"204","110","t5",0,0.933333333333333,"Lottery",NA
"205","110","t6",0,0.933333333333333,"Lottery",NA
"206","110","t7",0,0.933333333333333,"Lottery",NA
"207","110","t8",0,0.933333333333333,"Lottery",NA
"208","110","t9",0,0.933333333333333,"Lottery",NA
"209","113","t1",0,0.133333333333333,"Lottery",NA
"210","113","t10",0,2,"Lottery",NA
"211","113","t11",0,2,"Lottery",NA
"212","113","t12",0,2,"Lottery",NA
"213","113","t13",0,2,"Lottery",NA
"214","113","t14",0,2,"Lottery",NA
"215","113","t15",0,2,"Lottery",NA
"216","113","t16",0,2,"Lottery",NA
"217","113","t2",1,0.4,"Lottery",NA
"218","113","t3",1,0.4,"Lottery",NA
"219","113","t4",0,0.133333333333333,"Lottery",NA
"220","113","t5",0,0.933333333333333,"Lottery",NA
"221","113","t6",0,0.933333333333333,"Lottery",NA
"222","113","t7",0,0.933333333333333,"Lottery",NA
"223","113","t8",0,0.933333333333333,"Lottery",NA
"224","113","t9",0,2,"Lottery",NA
"225","115","t1",0,0.4,"Lottery",NA
"226","115","t10",0,0.933333333333333,"Lottery",NA
